City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,-1.82,78,22,13.29,GL,1731372152
1,olonkinbyen,70.9221,-8.7187,0.56,96,100,9.83,SJ,1731372153
2,grytviken,-54.2811,-36.5092,-0.35,91,92,5.06,GS,1731372154
3,blackmans bay,-43.0167,147.3167,20.29,52,0,0.89,AU,1731372155
4,adamstown,-25.066,-130.1015,21.82,64,100,1.0,PN,1731372156
5,port-aux-francais,-49.35,70.2167,4.96,94,100,7.24,TF,1731372157
6,howard springs,-12.497,131.047,32.71,72,14,3.01,AU,1731372158
7,las tablas,7.7667,-80.2833,23.43,99,68,3.27,PA,1731372159
8,ushuaia,-54.8,-68.3,7.81,81,75,1.54,AR,1731372160
9,nova sintra,14.8667,-24.7167,27.04,69,11,7.57,CV,1731372161
10,vorgashor,67.5833,63.95,-17.51,96,77,3.53,RU,1731372163
11,hermanus,-34.4187,19.2345,16.0,80,37,3.42,ZA,1731372164
12,bredasdorp,-34.5322,20.0403,13.68,90,13,1.06,ZA,1731372165
13,touros,-5.1989,-35.4608,26.33,72,100,4.77,BR,1731372166
14,thompson,55.7435,-97.8558,-4.91,86,100,2.06,CA,1731372167
15,waitangi,-43.9535,-176.5597,10.95,68,51,7.49,NZ,1731372168
16,sitka,57.0531,-135.33,7.94,76,75,0.0,US,1731372169
17,lihue,21.9789,-159.3672,24.77,92,100,3.6,US,1731372170
18,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,44,75,4.0,RU,1731372172
19,college,64.8569,-147.8028,-15.61,80,75,0.0,US,1731372173
20,fuglafjordur,62.244,-6.814,11.06,86,86,5.83,FO,1731372174
21,edinburgh of the seven seas,-37.0676,-12.3116,13.09,78,100,7.03,SH,1731372176
22,jinchang,38.4953,102.1739,6.14,52,100,2.03,CN,1731372177
23,cill airne,52.05,-9.5167,8.65,94,91,0.61,IE,1731372178
24,tolanaro,-25.0319,46.9987,25.04,83,40,0.0,MG,1731372179
25,puerto natales,-51.7236,-72.4875,6.65,89,65,5.22,CL,1731372180
26,saint-pierre,-21.3393,55.4781,23.82,73,100,1.54,RE,1731372181
27,albany,42.6001,-73.9662,13.7,61,100,1.34,US,1731372182
28,waupaca,44.358,-89.086,3.97,66,0,4.12,US,1731372183
29,hami,42.8,93.45,4.96,60,93,0.71,CN,1731371892
30,puerto ayora,-0.7393,-90.3518,21.97,87,26,3.58,EC,1731372185
31,atafu village,-8.5421,-172.5159,28.8,71,1,5.96,TK,1731372186
32,benguela,-12.5763,13.4055,24.4,80,100,2.54,AO,1731372188
33,ilomantsi,62.6716,30.9328,-1.19,90,100,1.51,FI,1731372189
34,kyzylorda,44.8528,65.5092,2.01,100,100,2.0,KZ,1731372190
35,sandnessjoen,66.0217,12.6316,7.76,74,100,7.65,NO,1731372191
36,monster,52.0258,4.175,10.57,90,20,5.66,NL,1731372192
37,corinto,37.9407,22.9573,13.83,77,100,1.38,GR,1731372193
38,stanley,54.868,-1.6985,5.71,91,78,0.0,GB,1731372194
39,georgetown,5.4112,100.3354,27.75,87,40,1.54,MY,1731372195
40,smithers,54.7804,-127.1743,2.18,93,75,1.54,CA,1731372196
41,papatowai,-46.5619,169.4708,15.42,49,32,4.82,NZ,1731372197
42,yellowknife,62.456,-114.3525,-7.55,98,75,8.23,CA,1731371966
43,tiksi,71.6872,128.8694,-17.37,94,100,1.3,RU,1731372199
44,sainte-anne-des-monts,49.124,-66.4924,1.93,100,100,3.09,CA,1731372200
45,maragogi,-9.0122,-35.2225,24.8,79,18,4.0,BR,1731372202
46,vilhena,-12.7406,-60.1458,22.1,83,35,1.13,BR,1731372203
47,bonnyville,54.2668,-110.735,1.52,88,100,5.01,CA,1731372204
48,nemuro,43.3236,145.575,8.02,70,99,6.21,JP,1731372205
49,ilulissat,69.2167,-51.1,-3.99,74,100,5.06,GL,1731372206
50,bilibino,68.0546,166.4372,-22.91,96,90,1.79,RU,1731372207
51,piti village,13.4626,144.6933,30.03,84,75,3.09,GU,1731372208
52,constantia,44.1833,28.65,4.38,81,99,6.63,RO,1731372209
53,jining,35.405,116.5814,17.24,71,6,1.93,CN,1731372040
54,iskateley,67.6803,53.1512,-9.29,99,89,2.36,RU,1731372211
55,margaret river,-33.95,115.0667,16.32,68,95,4.69,AU,1731372151
56,talnakh,69.4865,88.3972,-28.17,91,51,0.85,RU,1731372214
57,jalalaqsi,3.3766,45.5996,24.53,80,100,3.21,SO,1731372215
58,bethel,41.3712,-73.414,14.2,66,0,0.89,US,1731372216
59,sarangani,5.4033,125.4636,28.16,74,4,0.1,PH,1731372217
